date,customer_id,customer_name,industry,feedback,category,sentiment,source,sales_rep
2026-01-08,C001,에이텍제조,제조,AI 품질검사 솔루션 문의. 현재 수작업으로 불량률 관리가 어려움. 월 불량률 5% 이상으로 손실 큼.,품질관리,urgent,영업문의,박영업
2026-01-09,C002,베스트물류,물류,물류센터 자동화에 관심 있음. 인건비 상승으로 무인화 적극 검토 중. 연내 도입 희망.,물류자동화,interested,고객미팅,김영업
2026-01-10,C003,씨테크제조,제조,스마트팩토리 구축 희망. 정부 지원사업 연계 가능 여부 문의. 올해 신청 예정.,스마트팩토리,interested,인바운드콜,이영업
2026-01-11,C004,델타유통,유통,재고 관리 AI 솔루션 필요. 현재 엑셀로 관리하여 오류 빈번. 재고 손실 연 2억원.,재고관리,urgent,CS접수,박영업
2026-01-12,C005,이테크제조,제조,품질검사 자동화 시급. 인력 부족으로 검사 품질 저하. 3교대 운영 중인데 야간 검사 불가.,품질관리,urgent,영업문의,김영업
2026-01-13,C006,에프로직스,물류,택배 분류 자동화 솔루션 문의. 일 10만건 처리 필요. 현재 인력으로 한계.,물류자동화,interested,전시회,이영업
2026-01-14,C007,지테크,제조,용접 품질 AI 검사 도입 검토. 현재 샘플 검사만 하고 있어 불량 유출 우려.,품질관리,concerned,기술세미나,박영업
2026-01-15,C008,에이치물류,물류,콜드체인 모니터링 솔루션 필요. 온도 이탈 시 자동 알림 기능 원함.,물류자동화,interested,인바운드콜,김영업
2026-01-15,C009,아이제조,제조,비전 AI 검사 장비 교체 검토. 기존 장비 노후화로 오탐률 높음. 예산 3억원 확보.,품질관리,urgent,RFP수신,이영업
2026-01-16,C010,제이유통,유통,매장 재고 실시간 파악 솔루션 문의. 50개 매장 통합 관리 필요.,재고관리,interested,영업문의,박영업
